Destination IP,Source IP (Unique Count),Destination Port (Unique Count),Event Name (Unique Count),Log Source (Unique Count),Low Level Category (Unique Count),Protocol (Unique Count),Username (Unique Count),Magnitude (Maximum),Event Count (Sum),Source Geographic Country/Region (Unique Count),Count
216.104.209.119,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.94,123.206.55.22,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.142,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.64,180.97.106.37,80,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
192.150.11.169,180.97.106.37,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,1,China,1
192.147.130.82,87.117.12.170,53349,Reset Both,PaSeries @ or1-PA-fefw1,Session Reset,udp_ip,None,4,1,RussianFederation,1
216.104.208.100,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.208.21,123.249.45.211,3306,TCP sweep,Juniper JunOS Platform @ sjc-cloudfw,Suspicious Activity,Other,None,4,1,China,1
216.104.209.230,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
216.104.209.148,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-cloudfw,Session Closed,tcp_ip,None,3,1,China,1
192.150.12.84,61.240.144.65,443,RT_FLOW_SESSION_CLOSE,Juniper JunOS Platform @ sjc-inetfw,Session Closed,tcp_ip,None,3,1,China,1
